asset,month,operation_count,total_value_brl,average_value_brl
BNB,2019-10-01,10,5161.74,516.174
BNB,2019-11-01,26,64010.73999999999,2461.951538461538
BNB,2019-12-01,188,1648.06,8.76627659574468
BNB,2020-01-01,1976,326976.83999999997,165.47410931174088
BNB,2020-02-01,3990,1497228.0099999993,375.2451152882204
BNB,2020-03-01,1139,622838.6299999999,546.829350307287
BNB,2020-04-01,1210,871098.1699999992,719.9158429752059
BNB,2020-05-01,1467,829162.1099999994,565.2093456032716
BNB,2020-06-01,699,323603.14,462.95155937052937
BNB,2020-07-01,1513,686854.1599999984,453.9683807005938
BNB,2020-08-01,2496,1433026.8199999959,574.1293349358958
BNB,2020-09-01,2713,2263305.399999997,834.244526354588
BNB,2020-10-01,4755,1312853.3499999787,276.09954784436985
BNB,2020-11-01,3096,1118140.8400000052,361.15660206718513
BNB,2020-12-01,2227,1087823.9300000002,488.4705568028739
BNB,2021-01-01,5694,2660675.6099999994,467.2770653319282
BNB,2021-02-01,54577,83884422.21000017,1536.9921800392137
BNB,2021-03-01,26039,44794693.67999978,1720.2923952532656
BNB,2021-04-01,49410,79804877.29999988,1615.1563914187386
BNB,2021-05-01,31642,42747814.39999993,1350.983325959166
BNB,2021-06-01,16758,16668340.819999991,994.6497684687905
BNB,2021-07-01,18853,10345216.230000006,548.7305060202624
BNB,2021-08-01,20126,16992841.209999982,844.3228266918405
BNB,2021-09-01,18878,156810999.68,8306.547286788855
BNB,2021-10-01,31340,20266777.729999997,646.6744649010848
BNB,2021-11-01,37800,26807162.609999992,709.1841960317458
BNB,2021-12-01,26497,18463581.35999998,696.8178042797291
BNB,2022-01-01,20318,14297808.42999999,703.7015665911995
BNB,2022-02-01,22637,10276278.839999992,453.9593956796392
BNB,2022-03-01,23853,8709107.45,365.1158114283318
BNB,2022-04-01,21739,9894342.140000025,455.1424692948169
BNB,2022-05-01,28046,9070017.91000003,323.39791449761213
BNB,2022-06-01,36952,13078930.319999773,353.943773544051
BNB,2022-07-01,34915,10308498.439999912,295.2455517685783
BNB,2022-08-01,34887,7831127.780000005,224.4712293977701
BNB,2022-09-01,43911,6885505.130000006,156.8059285828154
BNB,2022-10-01,66084,6600482.880000007,99.88019611403679
BNB,2022-11-01,16705,11773463.790000007,704.7868177192461
BNB,2022-12-01,11193,6223374.910000004,556.0059778432952
BNB,2023-01-01,11736,6934518.649999995,590.8758222563049
BNB,2023-02-01,16503,6470846.689999999,392.10123553293334
BNB,2023-03-01,14437,5363658.770000012,371.52169910646336
BNB,2023-04-01,15302,4417856.760000001,288.71106783427007
BNB,2023-05-01,11118,5529152.249999999,497.31536697247697
BNB,2023-06-01,8549,4372213.370000002,511.42980114633315
BNB,2023-07-01,10012,3525098.1799999992,352.087313224131
BNB,2023-08-01,10085,19791772.9,1962.4960733763012
BNB,2023-09-01,10866,4859465.280000002,447.2174930977363
BNB,2023-10-01,10539,5621049.679999997,533.3570243856151
BNB,2023-11-01,12564,6905830.550000002,549.652224609997
BNB,2023-12-01,15156,7476585.439999992,493.30861968857164
BNB,2024-01-01,12016,9292410.129999997,773.3363956391476
BNB,2024-02-01,17552,7346089.589999993,418.5329073609841
BNB,2024-03-01,24082,16517215.049999973,685.8738912880979
BNB,2024-04-01,14348,9761599.26,680.345641204349
BNB,2024-05-01,11442,5837243.739999998,510.15938996678886
BNB,2024-06-01,12810,8686934.040000005,678.1369274004687
BNB,2024-07-01,18953,6587850.359999994,347.58879122038695
BNB,2024-08-01,23810,5868138.479999995,246.45688702225934
BNB,2024-09-01,18118,4790548.650000002,264.40824870294745
BNB,2024-10-01,22312,5977036.960000004,267.8844101828614
BNB,2024-11-01,37251,8918930.759999987,239.42795522267824
BNB,2024-12-01,40290,15289404.279999992,379.4838490940678
BNB,2025-01-01,27075,8139877.38,300.6418238227147
BNB,2025-02-01,26922,32654498.210000087,1212.9298792808888
BNB,2025-03-01,24457,7822302.540000012,319.83900478390694
BNB,2025-04-01,19298,5525586.9600000065,286.3295139392687
BNB,2025-05-01,14421,6216654.01,431.083420705915
BNB,2025-06-01,15984,4906638.380000001,306.9718706206207
BNB,2025-07-01,20915,7466392.580000002,356.98745302414545
BNB,2025-08-01,18863,6432965.960000003,341.03620632985223
BNB,2025-09-01,21373,8010759.099999995,374.8074252561641
BNB,2025-10-01,35999,12810714.160000026,355.8630561960062
BNB,2025-11-01,31718,6098174.899999992,192.26227694053824
BNB,2025-12-01,14012,4157603.140000001,296.71732372252364
BNB,2026-01-01,15389,3960822.7199999993,257.38012346481247
BNB,2026-02-01,16808,3823852.4099999988,227.50192824845305
BNB,2026-03-01,15010,2665562.989999997,177.58580879413705
BNB,2026-04-01,13968,2708726.290000002,193.92370346506314
BNB,2026-05-01,14064,2551769.590000006,181.4398172639367
BNB,2026-06-01,19762,3624179.6999999876,183.39134196943567
BRLT,2020-08-01,1,3000000.0,3000000.0
BRZ,2019-08-01,58,3835538.4299999997,66129.97293103448
BRZ,2019-09-01,50,1854402.22,37088.0444
BRZ,2019-10-01,181,41550173.519999996,229558.9697237569
BRZ,2019-11-01,149,52138654.959999986,349923.8587919462
BRZ,2019-12-01,230,120533411.56000003,524058.3111304349
BRZ,2020-01-01,258,112661452.47999999,436672.29643410846
BRZ,2020-02-01,156,54899904.94,351922.46756410255
BRZ,2020-03-01,148,34941946.440000005,236094.23270270275
BRZ,2020-04-01,51,2704506.98,53029.54862745098
BRZ,2020-05-01,1387,11251028.3,8111.772386445567
BRZ,2020-06-01,1382,34926638.12999999,25272.531208393622
BRZ,2020-07-01,1277,75136076.69000001,58837.96138606109
BRZ,2020-08-01,10194,115166718.01999995,11297.500296252692
BRZ,2020-09-01,8393,157407914.70999992,18754.6663541046
BRZ,2020-10-01,7772,327521563.09,42141.22016083376
BRZ,2020-11-01,7145,248875819.7,34832.16510846746
BRZ,2020-12-01,10247,347504280.3500008,33912.78231189624
BRZ,2021-01-01,12535,220230600.7899999,17569.25415157558
BRZ,2021-02-01,12974,392635430.7899969,30263.251949282945
BRZ,2021-03-01,17124,416595097.9399998,24328.141669002558
BRZ,2021-04-01,26931,946370520.91,35140.56369648361
BRZ,2021-05-01,59077,1098969646.7300005,18602.326569223227
BRZ,2021-06-01,37138,892552284.7700038,24033.3966495235
BRZ,2021-07-01,34953,832567076.8499992,23819.61711011928
BRZ,2021-08-01,47754,570361375.7900012,11943.74033149058
BRZ,2021-09-01,51587,807513782.599998,15653.435605869658
BRZ,2021-10-01,55071,1068300354.0299971,19398.60097020205
BRZ,2021-11-01,71839,1000956035.989996,13933.323626303205
BRZ,2021-12-01,87506,1059696870.2999943,12109.990975475903
BRZ,2022-01-01,66156,854041808.1900002,12909.514000090698
BRZ,2022-02-01,49379,566477936.1099977,11472.041477348625
BRZ,2022-03-01,55687,1241334242.2499988,22291.27520336881
BRZ,2022-04-01,37179,725491614.8499997,19513.478438096765
BRZ,2022-05-01,33487,521110079.7099998,15561.563583181527
BRZ,2022-06-01,54595,653950938.1799968,11978.220316512443
BRZ,2022-07-01,93786,1119591325.6200113,11937.723387499322
BRZ,2022-08-01,415596,557104693.0899999,1340.4958014273475
BRZ,2022-09-01,549075,624411517.7000006,1137.2062426808736
BRZ,2022-10-01,935747,655889030.3699186,700.9256031490548
BRZ,2022-11-01,959712,447706554.6599988,466.500944720915
BRZ,2022-12-01,1753261,346236623.2,197.4815062902785
BRZ,2023-01-01,2178776,254547904.20999992,116.83069035550231
BRZ,2023-02-01,1212020,179582600.10000053,148.1680171119293
BRZ,2023-03-01,1330516,274490425.32000035,206.30373879006368
BRZ,2023-04-01,2232983,420746786.6899829,188.4236407934959
BRZ,2023-05-01,1899677,451042872.88999295,237.4313490609156
BRZ,2023-06-01,1911614,448028445.3399941,234.3718163499504
BRZ,2023-07-01,2482482,464780698.89999384,187.2241969528858
BRZ,2023-08-01,2954232,552297070.270006,186.95115017033393
BRZ,2023-09-01,2378920,490004897.5200006,205.9778796764921
BRZ,2023-10-01,1707300,535865958.5100067,313.86748580214766
BRZ,2023-11-01,1173363,629219578.4099977,536.2531274720591
BRZ,2023-12-01,835641,572913904.8200015,685.5981274494687
BRZ,2024-01-01,892651,659884617.6100383,739.2414477887083
BRZ,2024-02-01,1219198,849783873.610011,697.0023520461901
BRZ,2024-03-01,3838706,1283033555.5100257,334.2359523000787
BRZ,2024-04-01,3841359,1164573754.7399976,303.1671225574068
BRZ,2024-05-01,4072879,719812516.0000038,176.73309617103868
BRZ,2024-06-01,4332388,674492271.2700003,155.6860261061568
BRZ,2024-07-01,4029768,655550274.3699988,162.67692690249137
BRZ,2024-08-01,4999130,749133406.7011042,149.85275571971607
BRZ,2024-09-01,4258835,710435513.7999994,166.8145194166948
BRZ,2024-10-01,8062339,927794773.5599988,115.0776187357042
BRZ,2024-11-01,15585053,1262838032.8000035,81.02879295951085
BRZ,2024-12-01,5437529,1062953844.8899908,195.4847219922856
BRZ,2025-01-01,1372286,718541662.210002,523.6092638196425
BRZ,2025-02-01,277084,419324936.68999964,1513.3495138297399
BRZ,2025-03-01,268971,275968300.4600045,1026.0150739670987
BRZ,2025-04-01,176890,324558234.630001,1834.8026153541807
BRZ,2025-05-01,178441,225178375.06999528,1261.920607203475
BRZ,2025-06-01,140522,120926742.59000064,860.5538107200342
BRZ,2025-07-01,213195,175754091.68999824,824.3818649123958
BRZ,2025-08-01,229442,79434009.23000011,346.2051813966062
BRZ,2025-09-01,295043,85609984.12999362,290.16104137360867
BRZ,2025-10-01,275054,77230623.70999305,280.78349600439566
BRZ,2025-11-01,266075,78651979.33998987,295.6007867706093
BRZ,2025-12-01,303881,170589098.72002473,561.368097117045
BRZ,2026-01-01,299494,164880912.67003536,550.5316055414645
BRZ,2026-02-01,285395,468832511.3600504,1642.749562396154
BRZ,2026-03-01,227641,367676419.220042,1615.159040858378
BRZ,2026-04-01,672422,433284537.5100306,644.3640117515944
BRZ,2026-05-01,707636,306382748.8600211,432.96659420948214
BRZ,2026-06-01,541579,399406965.18012786,737.4860642309393
BRZX,2019-11-01,185,12625.779999999992,68.24745945945942
BRZX,2019-12-01,399,32215.89999999996,80.74160401002497
BRZX,2020-01-01,388,73346.62999999998,189.03770618556695
BRZX,2020-02-01,435,32089.960000000006,73.77002298850576
BRZX,2020-03-01,696,23220.480000000054,33.36275862068973
BRZX,2020-04-01,758,33321.71000000003,43.96003957783645
BRZX,2020-05-01,1132,66185.10000000012,58.467402826855235
BRZX,2020-06-01,5622,500803.1800000015,89.07918534329447
BRZX,2020-07-01,4328,549113.6899999996,126.8746973197781
BRZX,2020-08-01,4717,944550.6900000062,200.2439453042201
BRZX,2020-09-01,1309,138299.53,105.65281130634072
BRZX,2020-10-01,2745,860302.3700000009,313.4070564663027
BRZX,2020-11-01,2035,581065.609999999,285.53592628992584
BRZX,2020-12-01,1731,481774.39999999927,278.32143269786206
BRZX,2021-02-01,1945,445940.3400000003,229.27523907455029
BRZX,2021-03-01,1310,221757.5699999996,169.28058778625925
BRZX,2021-04-01,1649,356047.6399999999,215.91730745906605
BRZX,2021-05-01,1983,343550.4500000017,173.24783156833166
BSV,2019-08-01,72,60528.53,840.6740277777777
BSV,2019-09-01,70,33557.92999999999,479.3989999999999
BSV,2019-10-01,1,39.26,39.26
BSV,2019-11-01,2,260.19,130.095
BSV,2019-12-01,1,26.14,26.14
BSV,2020-01-01,4,1512.31,378.0775
BSV,2020-02-01,3,2963.66,987.8866666666667
BSV,2020-03-01,4091,3243390.029999995,792.8110559765327
BSV,2020-04-01,3205,2610704.390000009,814.5723525741058
BSV,2020-05-01,3226,3061045.6600000053,948.8672225666477
BSV,2020-06-01,1397,1021219.8200000015,731.0091768074456
BSV,2020-07-01,2112,1560785.0999999982,739.0080965909083
BSV,2020-08-01,2470,1781550.689999995,721.2755829959494
BSV,2020-09-01,1493,1261194.6000000008,844.7385130609516
BSV,2020-10-01,779,435097.52000000014,558.533401797176
BSV,2020-11-01,1521,995115.2900000005,654.2506837606841
BSV,2020-12-01,1380,1109592.8599999985,804.0527971014482
BSV,2021-01-01,7595,6095455.699999994,802.5616458196173
BSV,2021-02-01,9724,7563558.410000004,777.82377725216
BSV,2021-03-01,6618,4993861.060000014,754.5876488365085
BSV,2021-04-01,13634,9989284.40000002,732.674519583396
BSV,2021-05-01,12061,10761572.290000003,892.2620255368546
BSV,2021-06-01,2207,1617697.3200000008,732.984739465338
BSV,2021-07-01,1416,996165.49,703.5067019774011
BSV,2021-08-01,2020,898094.0899999993,444.601034653465
BSV,2021-09-01,1597,828531.2100000005,518.8047651847216
BSV,2021-10-01,1441,830796.06,576.54133240805
BSV,2021-11-01,882,583894.5400000004,662.0119501133792
BSV,2021-12-01,1065,833864.6599999991,782.9715117370883
BSV,2022-01-01,306,218810.21000000008,715.0660457516342
BSV,2022-02-01,180,87632.79,486.8488333333333
BSV,2022-03-01,178,98581.39000000003,553.8280337078653
BSV,2022-04-01,184,85519.76999999997,464.78135869565205
BSV,2022-05-01,250,45839.120000000024,183.3564800000001
BSV,2022-06-01,488,128773.69999999998,263.8805327868852
BSV,2022-07-01,144,47375.07,328.99354166666666
