month,protocol,asset,deposits_usd,borrows_usd,withdrawals_usd,repayments_usd,avg_tvl_usd,active_user_days
2026-08-01,aave,USDC,6916026969.73,1294335207.03,6775025657.9,1180871905.73,2008067141.4,22648.0
2026-08-01,aave,USDT,1139435427.8,1441081180.9,1218311087.74,1254232998.07,2977125925.38,17142.0
2026-08-01,compound,USDC,57774978.04,39393611.98,39634367.25,15656601.03,350289124.22,1459.0
2026-08-01,compound,USDT,29729495.5,9870640.99,23085784.46,6911615.04,178763975.76,786.0
2026-08-01,spark,USDC,23831178.33,35501436.53,27657557.35,39031037.84,23408742.76,440.0
2026-08-01,spark,USDT,2242139294.56,282327694.51,2273059524.15,308375187.25,370502095.65,605.0
2026-09-01,aave,USDC,2207926518.15,496454393.96,1930667537.94,392473281.22,2172421525.17,8173.0
2026-09-01,aave,USDT,446896694.21,473001453.12,364368073.59,403560969.37,2974892763.06,6058.0
2026-09-01,compound,USDC,35313493.8,15645541.77,22970953.28,6582125.99,372118975.01,623.0
2026-09-01,compound,USDT,14124878.64,7157160.94,13765784.54,3559463.22,184081034.28,276.0
2026-09-01,spark,USDC,6219363.69,17807293.1,5256167.5,16890345.82,25641176.71,118.0
2026-09-01,spark,USDT,701723851.94,146757310.05,751578532.97,153552173.88,362664092.04,187.0
