date,exchange,asset,symbol,open,high,low,close,volume,volume_brl
2023-12-17,Mercado Bitcoin,USDT,USDT/BRL,4.98124433,5.05164,4.98,4.98514757,33984.10151048,169415.7610636027
2023-12-18,Mercado Bitcoin,USDT,USDT/BRL,4.99170619,5.04799,4.928,4.93144438,152723.46231556,753147.2599302102
2023-12-19,Mercado Bitcoin,USDT,USDT/BRL,4.93989467,5.04928,4.821,4.90313634,179038.1873732,877848.642757266
2023-12-20,Mercado Bitcoin,USDT,USDT/BRL,4.90290537,5.15,4.89116,4.95698896,141200.07315699,699927.2037903918
2023-12-21,Mercado Bitcoin,USDT,USDT/BRL,4.95698896,4.9939956,4.882,4.91731772,256977.62771808,1263640.642421678
2023-12-22,Mercado Bitcoin,USDT,USDT/BRL,4.91742626,4.934,4.88,4.91149998,152237.86132753,747716.2528654065
2023-12-23,Mercado Bitcoin,USDT,USDT/BRL,4.906,4.95,4.90023,4.91194103,26665.63075154,130980.00577931908
2023-12-24,Mercado Bitcoin,USDT,USDT/BRL,4.91266753,4.97812,4.91016562,4.933845,43552.28099919,214880.20384644857
2023-12-25,Mercado Bitcoin,USDT,USDT/BRL,4.92140492,4.97938,4.91121,4.93458844,29249.56173457,144334.54921047547
2023-12-26,Mercado Bitcoin,USDT,USDT/BRL,4.94,4.98,4.84596786,4.88323,211639.38521997,1033483.7950877141
2023-12-27,Mercado Bitcoin,USDT,USDT/BRL,4.88034998,4.94899997,4.79043262,4.8748101,100349.70469677,489185.7539878319
2023-12-28,Mercado Bitcoin,USDT,USDT/BRL,4.8731907,4.90939979,4.857,4.9,70760.32677469,346725.601195981
2023-12-29,Mercado Bitcoin,USDT,USDT/BRL,4.9,4.97938,4.88805,4.89111,97993.63142887,479297.63061806036
2023-12-30,Mercado Bitcoin,USDT,USDT/BRL,4.92,4.96899997,4.89141,4.92825307,33952.07772909,167324.43130126642
2023-12-31,Mercado Bitcoin,USDT,USDT/BRL,4.93525244,4.9999,4.91685865,4.95258459,49015.72536421,242754.52610645856
